CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
151,North Macedonia,MKD,Other Regions,False,False,,35.53264613421344,79.78717572465158,0.12891674127126232,93.81443298969072,4,Comparable partial,52.315792897456745,52.315792897456745,5.0
153,Norway,NOR,Other Regions,False,False,11.0,65.63618049354496,55.24597696621609,4.459713518352731,55.182130584192436,5,Full coverage,38.304800312461246,38.304800312461246,27.0
154,Oman,OMN,Other Regions,False,False,0.0,33.12007885913949,50.08810774809406,0.6342882721575649,4.457044673539519,5,Full coverage,17.659903910586127,17.659903910586127,112.0
155,Pakistan,PAK,Other Regions,False,False,1.0,26.900359863923846,37.57463674457117,2.0398388540734107,31.917525773195877,5,Full coverage,19.88647224715286,19.88647224715286,106.0
156,Palau,PLW,Other Regions,False,False,,19.83283694131745,11.385263752997425,,,2,Low coverage,15.609050347157437,,
157,Palestine,PSE,Other Regions,False,False,,38.28882874295682,51.22719686734407,0.14682184422560432,,3,Low coverage,29.887615818175494,,
158,Panama,PAN,Latin America & Caribbean,True,False,,32.64571923959581,81.13874982015496,0.021486123545210387,48.96907216494846,4,Comparable partial,40.69375683706111,40.69375683706111,19.0
159,Papua New Guinea,PNG,Other Regions,False,False,,54.44991312286058,56.848302833422416,0.0,,3,Low coverage,37.099405318761,,
160,Paraguay,PRY,Latin America & Caribbean,True,False,,29.458781542446406,66.99431362244121,0.02506714413607878,48.453608247422686,4,Comparable partial,36.23294263911159,36.23294263911159,33.0
161,Peru,PER,Latin America & Caribbean,True,True,1.0,41.254118032313556,55.186062257447794,0.20948970456580127,23.32646048109965,5,Full coverage,24.19522609508536,24.19522609508536,89.0
162,Philippines,PHL,Other Regions,False,False,1.0,45.46906171416993,46.90589956774654,0.5192479856759177,7.893470790378007,5,Full coverage,20.357536011594078,20.357536011594078,103.0
164,Poland,POL,Other Regions,False,False,4.0,48.07388230944645,49.8013789356961,3.240376007162041,40.092783505154635,5,Full coverage,29.041684151491847,29.041684151491847,64.0
165,Portugal,PRT,Other Regions,False,False,7.000000000000002,60.31455868781893,57.449057426007336,3.3285586392121758,42.16494845360825,5,Full coverage,34.051424641329334,34.051424641329334,43.0
166,Puerto Rico,PRI,Other Regions,False,False,,,,0.05013428827215756,,1,Low coverage,0.05013428827215756,,
167,Qatar,QAT,Other Regions,False,False,0.0,39.15780425824805,53.85823410491508,1.8187108325872874,38.446735395189,5,Full coverage,26.656296918187884,26.656296918187884,76.0
168,Reunion,REU,Other Regions,False,False,,,,0.021486123545210387,,1,Low coverage,0.021486123545210387,,
